Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.440521,-0.391033278,0.80497697,0.3415499,0.95788897
0.450531,0.451013321,2.018757636,-9.220377883,9.449558917
0.460571,0.308727432,1.865574619,0.525694508,1.96266044
0.470581,-2.268743062,0.539821235,6.755675329,7.146870028
0.480591,-0.413757421,2.013820832,-10.68532584,10.88130773
0.4906,0.236366164,1.829286214,-7.750222977,7.966687719
0.50061,-0.472767668,2.305997719,0.290033006,2.37176177
0.51062,-0.892118755,2.711773728,-0.098771167,2.856457311
0.52063,-1.676397312,2.078487236,7.996634585,8.430692843
0.530639,-0.654765069,-0.000111389,9.56595476,9.588337071
0.540649,0.089950569,0.958377649,3.334529677,3.470686818
0.550659,-0.542666636,-0.782836926,7.661494988,7.720480955
0.560669,-1.081239856,1.806760985,-5.586636241,5.970257061
0.570679,-0.720337646,2.742357005,-10.51053152,10.88626112
0.580719,-0.837122768,2.324897382,-9.254889904,9.579087092
0.590729,-0.849961573,2.436228661,-9.711969091,10.04887996
0.600738,-0.241703137,2.450747005,-7.063840551,7.480803741
0.610748,0.568376259,2.257488634,13.72658199,13.92258452
0.620758,-0.214855062,-1.341304493,24.44472942,24.48244385
0.630768,1.245509705,0.123380051,-9.870868345,9.94990246
0.640777,-1.066188319,1.380768521,15.49363863,15.59153992
0.650787,-0.308346851,2.109748205,-5.006219981,5.441355876
0.660797,-0.760439166,2.542794458,-10.873246,11.19247738
0.670807,-1.203850998,2.401429249,-8.975750846,9.369110038
0.680816,-1.166558699,2.417036052,-9.78411613,10.14553355
0.690826,-0.94071131,2.317593625,-8.272333142,8.642203052
0.700867,0.367055308,1.781341969,4.903117197,5.229576183
0.710876,0.595555798,0.649535612,38.25267659,38.26282594
0.720886,2.811903495,-3.521375407,-6.874901226,8.220167449
0.730896,0.411208145,2.340401859,-10.04246541,10.31977154
0.740906,-0.20383233,3.126222619,-4.811325266,5.741399333
0.750915,0.45428429,2.535985668,-5.045381708,5.665110246
0.760925,0.337144607,1.986193323,-6.691137271,6.987842899
0.770935,-1.437055719,2.083815804,3.913798714,4.661033986
0.780945,-4.176232862,2.141856143,11.91485496,12.80594539
0.790954,-2.638080977,3.165806515,-4.117584704,5.825487613
0.800964,4.038762483,3.407299445,4.448527755,6.907292602
