Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.991242833,-0.002554795,0.003261294,-0.177961178,0.178009393
1.001252833,0.003097562,0.001952847,-0.162692344,0.162733547
1.011261833,0.000432201,0.009279961,-0.172423865,0.172673952
1.021271833,0.00023271,0.012953848,-0.166885382,0.167387536
1.031281833,-0.002752111,-0.001845171,-0.16239472,0.16242852
1.041291833,0.001148037,-0.002174703,-0.180954368,0.180971076
1.051301833,-0.002233819,-0.003188605,-0.172870007,0.172913841
1.061310833,-0.000284339,0.000456384,-0.166134015,0.166134885
1.071351833,0.003460291,-8.22859E-05,-0.170476742,0.170511876
1.081360833,-0.009753412,0.003150283,-0.172573553,0.172877658
1.091370833,-0.008239321,-0.001552162,-0.169131297,0.169338984
1.101380833,0.00338975,-0.000894473,-0.166287212,0.166324163
1.111390833,-9.04034E-05,-0.000321574,-0.180057989,0.180058299
1.121399833,-0.002499009,0.0113174,-0.166885382,0.167287355
1.131409833,0.001260842,6.00847E-05,-0.176615734,0.176620244
1.141419833,0.006275753,-0.003617403,-0.169431844,0.169586617
1.151429833,-0.007243878,0.005422383,-0.163743088,0.163992911
1.161438833,-0.008695577,0.002213066,-0.17107842,0.171313562
1.171448833,-0.001279024,-0.007591513,-0.173771648,0.173942095
1.181489833,-0.012944045,-0.006825277,-0.164790909,0.165439344
1.191498833,-0.001014528,-0.003048414,-0.160151728,0.160183951
1.201508833,-0.005363112,-0.00157524,-0.162548502,0.162644581
1.211518833,0.001949462,-0.00064757,-0.168536051,0.168548569
1.221528833,0.007199247,0.00630191,-0.166738032,0.167012319
1.231537833,-0.004715779,0.006751241,-0.169882665,0.17008215
1.241547833,-0.004483864,0.001273076,-0.162097682,0.162164682
1.251557833,0.005042328,-0.002489151,-0.16179772,0.161895408
1.261567833,0.002905134,-0.004586236,-0.154312699,0.154408168
1.271576833,-0.003820863,0.005185663,-0.166886551,0.167010811
1.281586833,-0.003315243,0.001081429,-0.162394136,0.162431572
1.291596833,-0.008298752,0.013943654,-0.16419157,0.164991413
1.301636833,-0.009672217,0.008073945,-0.161197795,0.161689423
1.311646833,-0.001390185,0.002763399,-0.156108963,0.156139609
1.321656833,-0.00063329,0.001716523,-0.164192739,0.164202933
1.331666833,0.008378731,-0.003215676,-0.158356633,0.15861074
1.341675833,0.002228849,-0.011699465,-0.184105432,0.184490258
1.351685833,-0.0201319,-0.00361479,-0.146531809,0.147952462
1.361695833,-0.002346762,0.001339972,-0.178117298,0.178137797
1.371705833,0.011810672,0.024272879,-0.199970682,0.201784386
1.381714833,0.019053107,0.086872202,-0.124379048,0.152905029
1.391724833,0.006584038,0.199178951,-0.159552974,0.255289552
1.401734833,-0.008036696,0.363073062,-0.143963127,0.390655883
1.411744833,-0.029515319,0.377113286,-0.116681773,0.395853787
1.421784833,-0.037692486,0.266960807,-0.143129899,0.305245743
1.431794833,-0.039607851,0.170491908,-0.1152609,0.209574205
1.441803833,0.096189329,0.022912557,-0.251913838,0.270625117
1.451813833,-0.038496844,-0.315672974,-0.049512468,0.321843002
1.461823833,-0.099063802,-0.388546822,-0.159657639,0.431593364
1.471833833,-0.015213724,-0.364798904,-0.250801697,0.442957322
1.481843833,0.091783114,-0.362855399,-0.143208836,0.400745495
1.491852833,0.092953306,-0.300834056,-0.326783926,0.453794205
1.501862833,0.016373063,-0.244333032,-0.148088338,0.286176281
1.511872833,-0.076003607,-0.186431582,-0.097662535,0.22376607
1.521882833,0.022529569,-0.06694765,-0.199163767,0.211319131
1.531891833,0.063156699,0.059440793,-0.20682245,0.224271046
1.541932833,-0.015922151,0.237473792,-0.125392955,0.269018047
1.551941833,-0.087638827,0.369301553,-0.092426353,0.390649243
1.561951833,-0.027486582,0.408352365,-0.12680038,0.428468788
1.571961833,0.002234979,0.362048228,-0.108051867,0.377834779
1.581971833,-0.028374655,0.311710608,-0.123731761,0.336568229
1.591980833,-0.080934363,0.302820885,-0.078333979,0.323089882
1.601990833,0.002128496,0.351456837,-0.145820203,0.380512773
1.612000833,0.065630464,0.433488229,-0.283373027,0.522034171
1.622010833,-0.022359497,0.344554711,-0.150252977,0.376555245
1.632020833,-0.081866848,0.090045184,-0.053203815,0.132819283
1.642029833,0.026018346,-0.005313456,-0.225772106,0.227328465
1.652070833,0.099093531,0.045595628,-0.237889291,0.261705567
1.662079833,0.013434745,0.246180076,-0.169904884,0.299420761
1.672089833,-0.073424876,0.339670824,-0.004453239,0.347544691
1.682099833,-0.014196226,0.342268632,-0.110245158,0.359865731
1.692109833,0.084955329,0.468563593,-0.311841366,0.569222528
1.702118833,0.045722102,0.373262603,-0.006280494,0.37610494
1.712128833,-0.082085516,0.222686165,-0.035509556,0.239975183
1.722138833,-0.066725154,0.099146777,-0.17440841,0.211425218
1.732148833,-0.062803226,0.01734772,-0.00194186,0.065184042
1.742157833,-0.049517456,0.195108211,-0.220085104,0.298256007
1.752167833,0.037956396,0.354536419,-0.183610173,0.401060415
1.762177833,0.019177661,0.453647017,-0.052219144,0.457045116
1.772217833,-0.020196977,0.547725026,-0.113547081,0.55973526
1.782227833,0.004474966,0.320044717,-0.043840084,0.323064389
1.792237833,0.059616639,0.087576654,-0.307092842,0.324853548
1.802247833,0.107561999,-0.009714436,-0.226778412,0.25118201
1.812257458,0.044191758,-0.101543131,-0.109796092,0.155945826
1.822267458,-0.042784662,0.028217895,-0.309885473,0.314095182
1.832277458,-0.00892276,0.150457666,0.1258964,0.196384899
1.842287458,-0.07066435,0.248875131,-0.16158605,0.305028413
1.852296458,0.09545956,0.337480749,-0.361957267,0.504002824
1.862306458,0.177249334,0.262587729,0.045920523,0.320122377
1.872316458,0.014955095,0.241193772,-0.166981861,0.293736331
1.882326458,-0.000443054,0.257458643,-0.255132145,0.362460426
1.892366458,0.064053726,0.056237794,-0.119210694,0.14654951
1.902376458,0.057227193,-0.108375438,-0.043083454,0.129909088
1.912386458,0.121649531,-0.157071123,-0.269037409,0.334441435
