Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.98125175,0.068989068,0.036465649,-0.179403101,0.195639229
0.99126075,0.041137483,0.04689043,-0.18920128,0.199218798
1.00127075,-0.057983055,0.027747816,-0.160969169,0.173329309
1.01128075,-0.050849251,0.01942043,-0.176268994,0.184481862
1.02129075,-0.020530396,0.018813928,-0.161908817,0.16428611
1.03129975,0.061163301,0.014467035,-0.172851881,0.183923944
1.04130975,0.01196174,-0.010031045,-0.177050182,0.177737086
1.05131975,-0.056073665,-0.028631403,-0.150537736,0.163173599
1.06132975,-0.018770677,-0.046701273,-0.169792618,0.177095681
1.07136975,0.048298275,-0.048251881,-0.164340674,0.177957367
1.08137975,0.012772603,-0.058313989,-0.162350281,0.172977671
1.09138975,-0.040533849,-0.075944149,-0.157236307,0.179258927
1.10139875,-0.00909644,-0.068597049,-0.161714689,0.17589753
1.11140875,0.033966476,-0.041343688,-0.165278567,0.173723996
1.12141875,0.001838072,-0.019112063,-0.164237763,0.165356258
1.13142875,-0.037940097,-0.015049417,-0.16769873,0.172594322
1.14143775,0.003105292,-0.002472422,-0.163836059,0.163884136
1.15144775,0.032755481,0.005493605,-0.171336867,0.174526283
1.16145775,-0.006329538,0.007846671,-0.183335938,0.183612907
1.17146775,-0.029736125,-0.000493797,-0.170959137,0.173526677
1.18150775,0.005473268,-0.001941568,-0.172503971,0.172601699
1.19151775,0.020236172,3.28175E-05,-0.166397139,0.167623124
1.20152675,-0.012251872,-0.012031523,-0.165041755,0.165932657
1.21153675,-0.013448852,-0.02036958,-0.163685201,0.165495125
1.22154675,0.01368444,-0.043300386,-0.159940644,0.166262434
1.23155675,0.024680513,-0.039014962,-0.160668038,0.167169116
1.24156675,-0.008185974,-0.045472188,-0.16065225,0.167164217
1.25157575,-0.009634841,-0.043306453,-0.162128087,0.168088654
1.26158575,0.012637642,-0.040892795,-0.164810205,0.170277228
1.27159575,0.007370123,-0.038097022,-0.172575307,0.176883969
1.28160575,-0.014672491,-0.016168282,-0.158048485,0.159549425
1.29164575,-0.003406807,-0.008085164,-0.162239769,0.162476826
1.30165575,0.007534137,0.000808816,-0.165103735,0.165277527
1.31166475,-0.009041952,-0.000119576,-0.161222938,0.161476336
1.32167475,-0.016928877,-0.006181165,-0.163475286,0.164465689
1.33168475,-0.001135529,0.002593459,-0.154517351,0.154543286
1.34169475,-0.002819783,-0.013593753,-0.170396635,0.170961266
1.35170375,-0.010758511,-0.016787429,-0.165315989,0.166514082
1.36171375,-0.004682469,-0.026058117,-0.151858038,0.154148677
1.37172375,0.05164206,0.001819727,-0.147505955,0.156295299
1.38173375,0.050557457,0.013974041,-0.1905783,0.197664915
1.39174375,-0.00139679,0.004245005,-0.158367158,0.158430199
1.40178375,-0.050752644,-0.032390651,-0.148627451,0.160359298
1.41179375,-0.074851943,-0.054638941,-0.161640429,0.186321914
1.42180275,-0.03229631,-0.033053068,-0.141585065,0.14893585
1.43181275,0.000536738,-0.009004274,-0.162049735,0.16230059
1.44182275,-0.097368073,0.023695037,-0.205426719,0.228565381
1.45183275,-0.234823852,0.047796676,-0.115762591,0.266134817
1.461856333,0.240724003,0.233658757,-0.165112506,0.373907208
1.471866333,0.166031926,0.392363958,-0.24801433,0.492977873
1.481876333,-0.344545538,0.365631365,-0.136648845,0.520644629
1.491886333,0.257180023,0.376810803,-0.239836999,0.515412195
1.501895333,0.095573562,-0.00357031,-0.171332774,0.196219195
1.511936333,-0.092145486,-0.091913041,-0.100156372,0.164225749
1.521946333,0.120412443,-0.292378617,-0.150407928,0.350152762
1.531955333,0.073309119,-0.264387118,-0.197369256,0.337978399
1.541965333,-0.144520513,-0.196899798,-0.088967725,0.259944158
1.551975333,0.034910308,-0.136498352,-0.194912841,0.240502693
1.561985333,0.003033207,-0.055148818,-0.164091582,0.173137633
1.571994333,0.020541378,-0.06429993,-0.120389493,0.138021952
1.582004333,0.057497152,-0.025438531,-0.156282041,0.168455091
1.592014333,0.038577151,0.043911128,-0.180991205,0.190195163
1.602024333,0.050528166,0.112732564,-0.189055685,0.225840161
1.612033333,-0.025353436,0.144470592,-0.211845793,0.257668757
1.622074333,-0.132757103,0.208862835,-0.222587128,0.332856068
1.632083333,-0.030296288,0.028055818,-0.109804278,0.117311438
1.642093333,0.078681157,-0.168331471,-0.186032674,0.262934145
1.652103333,-0.112083102,-0.170413884,-0.097468407,0.226061063
1.662113333,0.032336985,-0.171540789,-0.153194126,0.232250647
1.672123333,-0.036780229,-0.097146883,-0.141074603,0.175192311
1.682132333,-0.026915994,-0.027730347,-0.140327328,0.145551372
1.692142333,0.008846344,-0.006418854,-0.151804828,0.152197784
1.702152333,0.059298935,0.003457605,-0.183275127,0.192660559
1.712162333,-0.002681551,0.091949074,-0.185374278,0.206943098
1.722171333,0.026941466,0.170999264,-0.170255717,0.242803624
1.732212333,0.052824623,0.126229618,-0.146794934,0.200681613
1.742221333,0.040105084,0.069627621,-0.157777174,0.177059481
1.752231333,0.045239725,0.029461562,-0.155524242,0.164628084
1.762241333,0.306890346,0.062465951,-0.162491199,0.352827252
1.772251333,0.090498745,0.286721874,-0.162314029,0.341680113
1.782260333,-0.204146307,0.484313032,-0.185456724,0.55734103
1.792270333,0.12552671,0.562374092,-0.265068319,0.634257667
1.802280333,-0.215264586,0.443642577,-0.227975337,0.543258992
1.812290333,-0.38011247,0.511210151,-0.206069913,0.669541721
1.822300333,-0.041280977,0.623143473,-0.218441452,0.661610592
1.832309333,-0.457169014,0.413124789,-0.241830899,0.661934878
1.842350333,-0.180437327,0.664517275,-0.229137179,0.72570289
1.852359333,0.546064672,0.899948031,-0.381048426,1.119504796
1.862369333,0.125706421,0.789229833,-0.14308663,0.811886456
1.872379333,-0.014991585,0.6747165,-0.203977779,0.705034777
1.882389333,0.368094139,1.01557482,-0.278942592,1.115658765
