Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.71086675,-0.051723812,0.004395937,-0.179897776,0.187237514
0.72087675,-0.110202163,-0.040517477,-0.160469817,0.198838489
0.73088675,-0.031783783,-0.049128087,-0.169306129,0.179132195
0.74092675,-0.012956005,-0.118295166,-0.144293495,0.187035336
0.75093675,0.143145303,-0.148610129,-0.146205534,0.252886548
0.76094675,0.191553725,-0.099216505,-0.134836208,0.254396438
0.77095675,0.161013699,-0.082388438,-0.136133121,0.226374673
0.78096575,0.054539411,-0.023615954,-0.154591026,0.165621997
0.79097575,-0.464954984,0.056650164,-0.237338483,0.52509231
0.80098575,0.092150876,0.250275083,-0.158126838,0.310054024
0.81099575,0.052278128,0.074205917,-0.222946147,0.240716649
0.82100475,-0.179610221,-0.019730625,-0.143719883,0.230877746
0.83101475,0.124806936,-0.096554049,-0.154089335,0.220551533
0.84102475,0.016200899,-0.151930982,-0.128351646,0.199548584
0.85106475,-0.010144718,-0.168556224,-0.135841345,0.216718681
0.86107475,0.092518739,-0.064643673,-0.13812936,0.178376685
0.87108475,-0.085898284,0.034762793,-0.174482085,0.197562559
0.88109375,0.001982681,0.157032824,-0.207335835,0.260098803
0.89110375,-0.00880905,0.143992363,-0.200305143,0.246847221
0.90111375,-0.046447522,0.104379231,-0.176028088,0.209853006
0.91112375,0.000575384,0.114685022,-0.179284987,0.212828786
0.92113375,-0.028778296,0.075689575,-0.161071495,0.180280694
0.93114275,-0.005483226,-0.054291032,-0.151557491,0.161081516
0.94115275,-0.008537026,-0.118221126,-0.153756629,0.194139682
0.95119275,-0.033055388,-0.089360292,-0.155651127,0.182497106
0.96120275,-0.005393746,-0.08431663,-0.159785693,0.180748041
0.97121275,0.012591814,-0.159286267,-0.156906524,0.223942685
0.98122275,-0.002965087,-0.211023016,-0.147321183,0.257377225
0.99123175,-0.038230064,-0.200969387,-0.150759346,0.254123223
1.00124175,-0.038234998,-0.129145406,-0.143344492,0.196692893
1.01125175,-0.069240371,-0.085487608,-0.142241122,0.179819067
1.02126175,-0.037832509,-0.04079522,-0.146473922,0.156684901
1.03127175,0.062933619,0.017805137,-0.155445889,0.168644857
1.04128075,0.065061621,0.013270256,-0.17228587,0.184638932
1.05129075,-0.02720841,-0.057086366,-0.177631395,0.188552548
1.06133075,-3.06979E-06,-0.039163042,-0.168197497,0.172696676
1.07134075,0.002819893,0.040670747,-0.168468223,0.173330908
1.08135075,0.001925726,0.08461725,-0.165088533,0.185520918
1.09136075,0.032049813,0.020002228,-0.16929385,0.173458028
1.10136975,0.001421166,0.013323831,-0.152081401,0.15267055
1.11137975,0.022465953,0.064203597,-0.169848751,0.18296289
1.12138975,0.006555935,0.124686465,-0.172365392,0.212836847
1.13139975,-0.009576661,0.12760481,-0.174331226,0.216254657
1.14140875,0.018653714,0.108898179,-0.174944599,0.206911544
1.15141875,0.020206643,0.040196538,-0.166632197,0.172598839
1.16142875,0.019437881,-0.000361796,-0.151737,0.152977382
1.17146875,0.022710659,0.01584018,-0.146358147,0.14895433
1.18147875,0.070428927,0.00655239,-0.147293116,0.163396541
1.19148875,0.02889091,-0.067965403,-0.151746356,0.168762962
1.20149875,-0.016096636,-0.067458596,-0.163118606,0.177249664
1.21150775,-0.081055437,-0.019674419,-0.180901743,0.199204687
1.22151775,-0.109223796,-0.019331187,-0.17757877,0.209374669
1.23152775,0.071047252,-0.04048349,-0.143377236,0.165056526
1.24153775,-0.081586492,-0.117897044,-0.132315474,0.195098573
