Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,-0.06887322,0.082590423,-0.09206441,0.141564664
0.010009,-0.088663341,0.022329516,-0.214123283,0.232827352
0.02005,0.006939804,0.011728994,-0.200005766,0.20046954
0.030059,-0.015007646,0.018281996,-0.215915455,0.217207146
0.040069,-0.004072403,-0.004327259,-0.227339745,0.22741739
0.050079,-0.000442671,-0.065772711,-0.180617568,0.1922211
0.060089,-0.06205533,-0.070561252,-0.195989898,0.217351776
0.070099,-0.052495644,-0.035296969,-0.171442702,0.182740988
0.080108,0.015768461,-0.10970535,-0.187282809,0.217620676
0.090118,0.075530001,-0.09986593,-0.251889864,0.28129431
0.100128,0.013432114,-0.094011122,-0.217631028,0.237448472
0.110138,-0.03033689,-0.029275031,-0.146826509,0.152759216
0.120147,-0.034534789,0.014435684,-0.165964445,0.170133
0.130157,0.013887539,0.005082838,-0.210819021,0.211337074
0.140197,0.024412527,0.032152866,-0.237077698,0.240490359
0.150207,-0.020440477,0.021014779,-0.235042282,0.23686348
0.160217,0.017134535,0.03614381,-0.08646804,0.09527166
0.170227,-0.198350382,0.031246333,-0.175091364,0.266413576
0.180236,-0.158499634,0.256676413,0.085875133,0.313654991
0.190246,-0.148662205,0.383611772,0.016649362,0.411747064
0.200256,0.086009765,0.274408533,-0.646009741,0.707125384
0.210266,0.270372072,0.206511981,-0.404184689,0.528311952
0.220276,0.103541472,0.202062103,-0.083560805,0.241934574
0.230285,0.093679302,0.042717373,-0.176314017,0.20417448
0.240295,0.162196829,-0.139570936,-0.329943177,0.393256096
0.250305,0.34293452,-0.039863493,-0.49822078,0.606149428
0.260345,0.197500672,0.187903546,-0.310707591,0.413344245
0.270378,0.041508653,0.340772001,0.37596778,0.509117174
0.280388,-0.238125884,0.221331913,0.225865662,0.395862412
0.290397,-0.300023266,0.081394283,-0.490527014,0.580737239
0.300407,-0.104608808,-0.008193123,-0.225172766,0.248420822
0.310417,-0.030038243,0.016825514,-0.085092775,0.091794196
0.320427,-0.145042596,-0.097030752,-0.209881713,0.272951745
0.330436,-0.196220936,-0.257052298,-0.129197153,0.348239062
0.340446,-0.093324047,-0.413067194,-0.092854369,0.433538716
0.350456,0.027078529,-0.469902898,-0.351600094,0.587507112
0.360466,0.150376609,-0.430749942,-0.383017768,0.595702315
0.370476,0.107868155,-0.419882343,-0.149909161,0.458704129
0.380516,-0.092447842,-0.368431816,-0.191151912,0.425238356
0.390526,-0.128211313,-0.003970536,-0.169855767,0.212849448
0.400535,0.061433515,0.812303311,-0.15848878,0.829897247
0.410545,0.501493102,1.470436888,-0.284413832,1.57942116
0.420555,0.543046705,1.939434016,-0.399021013,2.053173591
0.430565,0.158756656,2.076236935,-0.036027619,2.082609295
0.440574,-0.22079883,1.616954664,0.200368878,1.644214766
0.450584,-0.26235744,1.237711858,-0.097141548,1.268935992
0.460594,-0.064817299,0.710574111,-0.040374439,0.714665618
0.470604,-0.177483095,0.377668845,-0.318767978,0.525116205
0.480613,-0.013262837,0.233564837,0.073446291,0.245199497
0.490654,-0.163351654,0.496145311,-0.012819436,0.522501934
0.500664,-0.417165398,1.061018211,-0.273459073,1.172419071
0.510673,-0.321507983,1.447022883,0.490790139,1.561447267
0.520683,-0.145099351,1.995432508,-0.214399272,2.012155999
0.530693,0.368019879,2.004937742,0.048338347,2.039007252
0.540703,0.143035722,1.884220951,0.14491213,1.895190581
0.550712,0.006875595,1.951297724,0.315178372,1.976599982
0.560722,0.199943164,2.131560805,-0.015684571,2.140975184
0.570732,0.22643518,1.89864881,0.865993688,2.099067712
0.580742,0.275961755,2.173752266,-0.417567796,2.230631451
0.590751,0.14780303,2.578304014,-0.455271812,2.622359576
0.600761,-0.165776384,2.448149818,0.008311817,2.453770247
0.610801,0.020256107,2.577195967,-0.923468894,2.737726093
0.620811,0.041290771,2.392978268,-1.042438683,2.610503463
0.630821,0.304462984,2.175071983,-1.523078055,2.672714463
0.640831,-0.041613172,2.047073947,-2.173438125,2.985980021
0.650841,-0.178874367,1.617968425,-1.01395748,1.917792386
0.66085,-0.484943983,1.671590901,-1.197513859,2.11268224
0.67086,-0.538957162,2.095647206,-0.550393147,2.23274375
0.68087,0.00954642,2.310804131,-0.151111348,2.31575938
0.69088,0.422304772,2.384810877,-0.252712567,2.435062193
0.700889,0.974301883,2.403899844,0.068301911,2.594737707
0.710899,0.975157988,2.287678685,1.633253047,2.97521804
0.720909,0.642529259,2.841785983,2.47845696,3.825093505
0.730949,0.276226268,4.225202708,2.484559699,4.909345758
0.740959,-0.106886554,2.594093835,7.415089812,7.856481686
0.750969,-0.908084578,3.168149202,-0.533877102,3.338684131
0.760978,0.502240193,3.465504676,-8.653295614,9.334960785
0.770988,-0.529126897,3.615293677,-2.210574961,4.270476004
0.780998,-1.09632443,2.809255584,-5.884869967,6.61252892
0.791008,-1.336717352,1.251491845,-4.557730354,4.911817494
0.801018,-0.767278362,0.836075971,1.21189567,1.66025005
0.811027,0.483208858,0.699468202,3.258510026,3.367585806
0.821037,2.073252224,1.20040823,9.547004519,9.84300005
0.831047,1.752683304,1.881541611,10.32986425,10.64510183
0.841087,1.385786455,0.364752894,-0.068848625,1.434638946
0.851097,-0.126246283,0.095988623,-9.35522754,9.356571716
0.861107,-0.504563219,-0.273071111,-9.945353687,9.961887965
0.871116,-0.377173622,0.588332294,-8.615536049,8.643833423
0.881126,0.611082385,0.357191055,-4.410684575,4.46711826
0.891136,2.014030601,-0.858909786,15.15922701,15.31653383
0.901146,2.087196225,-2.824008694,12.42783353,12.91442834
0.911155,1.890080885,-1.797003444,-6.280588472,6.80054547
0.921165,0.843673039,-1.630753362,-9.481454308,9.657593723
0.931175,1.075706709,-1.076980305,-2.663246516,3.067558232
